commontreeid,ownership,height,age,dbh,botanical_names,common_names,origin,region
ID_101,State,7.5,29,19.8,Lagerstroemia indica,common crapemyrtle,"Modesto, CA",InlVal
ID_102,State,19.5,33,62.7,Fraxinus holotricha,Moraine ash,"Modesto, CA",InlVal
ID_103,State,13.5,34,58.2,Quercus ilex,holly oak,"Modesto, CA",InlVal
ID_104,State,12,37,46.5,Celtis sinensis,Chinese hackberry,"Modesto, CA",InlVal
ID_105,State,11,37,40.1,Celtis sinensis,Chinese hackberry,"Modesto, CA",InlVal
ID_106,State,13.5,30,47,Pistacia chinensis,Chinese pistache,"Modesto, CA",InlVal
ID_107,State,6.5,34,51.5,Gleditsia triacanthos,honeylocust,"Modesto, CA",InlVal
ID_108,State,6.5,8,11.1,Pyrus calleryana 'Bradford',Callery pear 'Bradford',"Modesto, CA",InlVal
ID_109,State,9,37,32,Cinnamomum camphora,camphor tree,"Modesto, CA",InlVal
ID_110,State,21.5,37,64,Celtis sinensis,Chinese hackberry,"Modesto, CA",InlVal
ID_111,State,11,33,41,Pyrus calleryana 'Bradford',Callery pear 'Bradford',"Modesto, CA",InlVal
ID_112,State,5,4,8.5,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_113,State,7.8,37,77,Celtis sinensis,Chinese hackberry,"Modesto, CA",InlVal
ID_114,State,11,34,49.5,Gleditsia triacanthos,honeylocust,"Modesto, CA",InlVal
ID_115,State,12.5,37,71,Celtis sinensis,Chinese hackberry,"Modesto, CA",InlVal
ID_116,State,15,37,37.3,Celtis sinensis,Chinese hackberry,"Modesto, CA",InlVal
ID_117,State,20,37,45,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_118,State,11.5,33,73,Fraxinus holotricha,Moraine ash,"Modesto, CA",InlVal
ID_119,State,22,37,58.8,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_120,State,8,30,48,Pistacia chinensis,Chinese pistache,"Modesto, CA",InlVal
ID_121,State,12,36,51.7,Pyrus calleryana 'Bradford',Callery pear 'Bradford',"Modesto, CA",InlVal
ID_122,State,7.5,30,31.5,Pistacia chinensis,Chinese pistache,"Modesto, CA",InlVal
ID_123,State,16.5,37,68.5,Celtis sinensis,Chinese hackberry,"Modesto, CA",InlVal
ID_124,State,9.4,9,20,Celtis sinensis,Chinese hackberry,"Modesto, CA",InlVal
ID_125,State,10.5,16,33,Celtis sinensis,Chinese hackberry,"Modesto, CA",InlVal
ID_126,State,14,37,44.9,Celtis sinensis,Chinese hackberry,"Modesto, CA",InlVal
ID_127,State,15,37,53,Celtis sinensis,Chinese hackberry,"Modesto, CA",InlVal
ID_128,State,6.5,30,35.5,Pistacia chinensis,Chinese pistache,"Modesto, CA",InlVal
ID_129,State,13.5,30,38,Pistacia chinensis,Chinese pistache,"Modesto, CA",InlVal
ID_130,State,10.5,33,34.5,Pyrus calleryana 'Bradford',Callery pear 'Bradford',"Modesto, CA",InlVal
ID_131,State,21.5,37,65.8,Celtis sinensis,Chinese hackberry,"Modesto, CA",InlVal
ID_132,State,22,37,73.4,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_133,State,14.5,18,31.3,Betula pendula,European white birch,"Modesto, CA",InlVal
ID_134,State,17,37,49.8,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_135,State,18,37,56,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_136,State,8.5,37,39,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_137,State,10.5,36,33.5,Betula pendula,European white birch,"Modesto, CA",InlVal
ID_138,State,11.5,36,37,Betula pendula,European white birch,"Modesto, CA",InlVal
ID_139,State,15.5,34,43,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_140,State,12.5,34,48,Cinnamomum camphora,camphor tree,"Modesto, CA",InlVal
ID_141,State,14,40,55.4,Fraxinus velutina 'Modesto',Modesto ash,"Modesto, CA",InlVal
ID_142,State,5.1,33,19.2,Prunus cerasifera,cherry plum,"Modesto, CA",InlVal
ID_143,State,6,36,16,Lagerstroemia indica,common crapemyrtle,"Modesto, CA",InlVal
ID_144,State,9,33,63,Fraxinus holotricha,Moraine ash,"Modesto, CA",InlVal
ID_145,State,8.5,36,46,Gleditsia triacanthos,honeylocust,"Modesto, CA",InlVal
ID_146,State,14,33,71,Fraxinus holotricha,Moraine ash,"Modesto, CA",InlVal
ID_147,State,9,33,20.5,Pyrus calleryana 'Bradford',Callery pear 'Bradford',"Modesto, CA",InlVal
ID_148,State,10.5,37,41.5,Pinus thunbergiana,Japanese black pine,"Modesto, CA",InlVal
ID_149,State,11.5,18,37.5,Fraxinus holotricha,Moraine ash,"Modesto, CA",InlVal
ID_150,State,12.5,18,27,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_151,State,8.5,36,50.5,Gleditsia triacanthos,honeylocust,"Modesto, CA",InlVal
ID_152,State,2.8,6,5.1,Lagerstroemia indica,common crapemyrtle,"Modesto, CA",InlVal
ID_153,State,10.5,34,43.5,Celtis sinensis,Chinese hackberry,"Modesto, CA",InlVal
ID_154,State,10.5,33,62,Fraxinus holotricha,Moraine ash,"Modesto, CA",InlVal
ID_155,State,10.5,34,39.5,Magnolia grandiflora,southern magnolia,"Modesto, CA",InlVal
ID_156,State,10.5,34,38.5,Cinnamomum camphora,camphor tree,"Modesto, CA",InlVal
ID_157,State,10.5,36,45.5,Gleditsia triacanthos,honeylocust,"Modesto, CA",InlVal
ID_158,State,12,21,52.7,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_159,State,5.5,9,9.9,Fraxinus pennsylvanica 'Marshall',Marshall ash,"Modesto, CA",InlVal
ID_160,State,7,8,19.7,Cinnamomum camphora,camphor tree,"Modesto, CA",InlVal
ID_161,State,10.5,18,25.8,Pyrus calleryana 'Bradford',Callery pear 'Bradford',"Modesto, CA",InlVal
ID_162,State,12.5,18,43.7,Pyrus calleryana 'Bradford',Callery pear 'Bradford',"Modesto, CA",InlVal
ID_163,State,12,19,30.8,Celtis sinensis,Chinese hackberry,"Modesto, CA",InlVal
ID_164,State,4.9,20,10.1,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_165,State,10,18,37.6,Fraxinus pennsylvanica 'Marshall',Marshall ash,"Modesto, CA",InlVal
ID_166,State,13,22,32.4,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_167,State,7.5,10,26,Pinus thunbergiana,Japanese black pine,"Modesto, CA",InlVal
ID_168,State,8,12,16.6,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_169,State,7,19,18.1,Pistacia chinensis,Chinese pistache,"Modesto, CA",InlVal
ID_170,State,3.1,8,2.5,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_171,State,6.4,23,8.4,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_172,State,6.5,16,12.4,Betula pendula,European white birch,"Modesto, CA",InlVal
ID_173,State,11.5,16,37.3,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_174,State,9.5,23,18.4,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_175,State,9,21,28.9,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_176,State,8.5,11,18,Platanus x acerifolia,London planetree,"Modesto, CA",InlVal
ID_177,State,12.5,10,15.1,Betula pendula,European white birch,"Modesto, CA",InlVal
ID_178,State,12.5,35,32.1,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_179,State,10.5,35,37.9,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_180,State,4,33,12.8,Lagerstroemia indica,common crapemyrtle,"Modesto, CA",InlVal
ID_181,State,9,34,31,Pinus thunbergiana,Japanese black pine,"Modesto, CA",InlVal
ID_182,State,18,33,47,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_183,State,10.5,35,35.9,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_184,State,18,35,48,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_185,State,11,32,27.9,Gleditsia triacanthos,honeylocust,"Modesto, CA",InlVal
ID_186,State,15.5,35,46,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_187,State,13.5,35,46.4,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_188,State,19.5,33,61.2,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_189,State,5.5,24,34.1,Prunus cerasifera,cherry plum,"Modesto, CA",InlVal
ID_190,State,7,34,24.3,Pistacia chinensis,Chinese pistache,"Modesto, CA",InlVal
ID_191,State,9,35,28.4,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_192,State,3.5,33,26.9,Prunus cerasifera,cherry plum,"Modesto, CA",InlVal
ID_193,State,8.5,34,31.2,Koelreuteria paniculata,goldenrain tree,"Modesto, CA",InlVal
ID_194,State,10.5,25,42.3,Celtis sinensis,Chinese hackberry,"Modesto, CA",InlVal
ID_195,State,14,35,39.5,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_196,State,14,25,45.3,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_197,State,16,33,58.8,Fraxinus holotricha,Moraine ash,"Modesto, CA",InlVal
ID_198,State,8,34,38,Pinus thunbergiana,Japanese black pine,"Modesto, CA",InlVal
ID_199,State,15,33,63.2,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_200,State,17,33,55.3,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_201,State,14,35,42.3,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_202,State,10.5,34,35.8,Quercus ilex,holly oak,"Modesto, CA",InlVal
ID_203,State,12.5,33,44.2,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_204,State,4,33,8,Lagerstroemia indica,common crapemyrtle,"Modesto, CA",InlVal
ID_205,State,13,33,57.4,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_206,State,14.5,34,39.6,Magnolia grandiflora,southern magnolia,"Modesto, CA",InlVal
ID_207,State,9,33,29.3,Betula pendula,European white birch,"Modesto, CA",InlVal
ID_208,State,13.5,33,38.5,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_209,State,12,35,44.4,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_210,State,12,35,39.3,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_211,State,13,35,52.8,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_212,State,6.5,34,27.8,Cinnamomum camphora,camphor tree,"Modesto, CA",InlVal
ID_213,State,10.5,33,48.3,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_214,State,5.8,14,18.3,Cinnamomum camphora,camphor tree,"Modesto, CA",InlVal
ID_215,State,7,34,21.5,Magnolia grandiflora,southern magnolia,"Modesto, CA",InlVal
ID_216,State,13,35,46,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_217,State,15,34,35.4,Pinus thunbergiana,Japanese black pine,"Modesto, CA",InlVal
ID_218,State,8.5,33,17,Betula pendula,European white birch,"Modesto, CA",InlVal
ID_219,State,9,35,26.2,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_220,State,14.5,35,48.9,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_221,State,13,34,66.5,Cinnamomum camphora,camphor tree,"Modesto, CA",InlVal
ID_222,State,8.5,34,40.1,Pinus thunbergiana,Japanese black pine,"Modesto, CA",InlVal
ID_223,State,12,33,22.4,Betula pendula,European white birch,"Modesto, CA",InlVal
ID_224,State,12,33,30.2,Betula pendula,European white birch,"Modesto, CA",InlVal
ID_225,State,13,33,26.5,Betula pendula,European white birch,"Modesto, CA",InlVal
ID_226,State,5.2,23,14.8,Lagerstroemia indica,common crapemyrtle,"Modesto, CA",InlVal
ID_227,State,6,15,11,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_228,State,10,23,31.2,Fraxinus excelsior 'Hessei',Hesse ash,"Modesto, CA",InlVal
ID_229,State,8,15,12.6,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_230,State,9.5,24,19,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_231,State,10.5,24,30.5,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_232,State,10.5,24,43.2,Quercus ilex,holly oak,"Modesto, CA",InlVal
ID_233,State,9.5,24,19.4,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_234,State,14,24,46.5,Celtis sinensis,Chinese hackberry,"Modesto, CA",InlVal
ID_235,State,5,4,10.5,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_236,State,16,40,56.7,Fraxinus velutina 'Modesto',Modesto ash,"Modesto, CA",InlVal
ID_237,State,11,33,28.9,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_238,State,9.2,9,27.2,Fraxinus excelsior 'Hessei',Hesse ash,"Modesto, CA",InlVal
ID_239,State,10.3,33,37.1,Magnolia grandiflora,southern magnolia,"Modesto, CA",InlVal
ID_240,State,9.5,34,36.5,Pyrus calleryana 'Bradford',Callery pear 'Bradford',"Modesto, CA",InlVal
ID_241,State,7,35,25,Magnolia grandiflora,southern magnolia,"Modesto, CA",InlVal
ID_242,State,4.5,35,28,Pinus thunbergiana,Japanese black pine,"Modesto, CA",InlVal
ID_243,State,15.2,34,46.2,Gleditsia triacanthos,honeylocust,"Modesto, CA",InlVal
ID_244,State,16.5,35,56,Quercus ilex,holly oak,"Modesto, CA",InlVal
ID_245,State,11.5,33,35.1,Liquidambar styraciflua,sweetgum,"Modesto, CA",InlVal
ID_246,State,5.4,32,17.6,Prunus cerasifera,cherry plum,"Modesto, CA",InlVal
ID_247,State,9.6,34,26.6,Pyrus calleryana 'Bradford',Callery pear 'Bradford',"Modesto, CA",InlVal
ID_248,State,8,35,31.5,Magnolia grandiflora,southern magnolia,"Modesto, CA",InlVal
ID_249,State,10,19,31,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_250,State,10.6,34,25,Fraxinus pennsylvanica 'Marshall',Marshall ash,"Modesto, CA",InlVal
ID_251,State,9.5,34,24.4,Fraxinus pennsylvanica 'Marshall',Marshall ash,"Modesto, CA",InlVal
ID_252,State,12.1,34,35.6,Fraxinus angustifolia 'Raywood',Raywood ash,"Modesto, CA",InlVal
ID_253,State,8,32,21.8,Pyrus calleryana 'Bradford',Callery pear 'Bradford',"Modesto, CA",InlVal
ID_254,State,5.5,23,26,Prunus cerasifera,cherry plum,"Modesto, CA",InlVal
ID_255,State,10.2,30,44.9,Fraxinus holotricha,Moraine ash,"Modesto, CA",InlVal
ID_256,State,11.5,35,29.3,Magnolia grandiflora,southern magnolia,"Modesto, CA",InlVal
ID_257,State,13.2,30,50.6,Pyrus calleryana 'Bradford',Callery pear 'Bradford',"Modesto, CA",InlVal
ID_258,State,12.2,30,40.4,Pyrus calleryana 'Bradford',Callery pear 'Bradford',"Modesto, CA",InlVal
ID_259,State,13,39,43.7,Pinus thunbergiana,Japanese black pine,"Modesto, CA",InlVal
ID_260,State,11,30,39,Fraxinus excelsior 'Hessei',Hesse ash,"Modesto, CA",InlVal
ID_261,State,11.3,30,49.3,Fraxinus holotricha,Moraine ash,"Modesto, CA",InlVal
ID_262,State,2.9,34,17,Prunus cerasifera,cherry plum,"Modesto, CA",InlVal
ID_263,State,12.5,34,48,Gleditsia triacanthos,honeylocust,"Modesto, CA",InlVal
ID_264,State,7.5,33,28.7,Pinus thunbergiana,Japanese black pine,"Modesto, CA",InlVal
ID_265,State,9.2,34,15.7,Betula pendula,European white birch,"Modesto, CA",InlVal
ID_266,State,6.6,32,20,Lagerstroemia indica,common crapemyrtle,"Modesto, CA",InlVal
ID_267,State,6,33,39,Pinus thunbergiana,Japanese black pine,"Modesto, CA",InlVal
ID_268,State,13.5,26,42.3,Celtis sinensis,Chinese hackberry,"Modesto, CA",InlVal
ID_269,State,11.5,31,26.8,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_270,State,18,25,56.1,Fraxinus holotricha,Moraine ash,"Modesto, CA",InlVal
ID_271,State,13,25,47.2,Fraxinus holotricha,Moraine ash,"Modesto, CA",InlVal
ID_272,State,11.5,31,38.2,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_273,State,12.5,20,33.1,Fraxinus velutina 'Modesto',Modesto ash,"Modesto, CA",InlVal
ID_274,State,9.5,31,38.1,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_275,State,11.5,31,41.2,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_276,State,13.5,31,48.6,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_277,State,7,25,28.9,Prunus cerasifera,cherry plum,"Modesto, CA",InlVal
ID_278,State,3.7,3,3,Koelreuteria paniculata,goldenrain tree,"Modesto, CA",InlVal
ID_279,State,13,31,35.5,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_280,State,11.8,31,42.4,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_281,State,10,31,49.1,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_282,State,8,14,19.7,Pistacia chinensis,Chinese pistache,"Modesto, CA",InlVal
ID_283,State,10.5,31,44.5,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_284,State,9,31,35.5,Zelkova serrata,Japanese zelkova,"Modesto, CA",InlVal
ID_285,State,17.5,41,49.5,Fraxinus velutina 'Modesto',Modesto ash,"Modesto, CA",InlVal
ID_286,State,8,30,47.9,Ginkgo biloba,ginkgo,"Modesto, CA",InlVal
ID_287,State,16.5,29,40.4,Pistacia chinensis,Chinese pistache,"Modesto, CA",InlVal
